:ID(Organisation)|name|url|id:long|:LABEL
0|Kam_Air|http://dbpedia.org/resource/Kam_Air|0|Company
1|Balkh_Airlines|http://dbpedia.org/resource/Balkh_Airlines|1|Company
2|Khyber_Afghan_Airlines|http://dbpedia.org/resource/Khyber_Afghan_Airlines|2|Company
3|MarcoPolo_Airways|http://dbpedia.org/resource/MarcoPolo_Airways|3|Company
4|Pamir_Airways|http://dbpedia.org/resource/Pamir_Airways|4|Company
5|Bakhtar_Afghan_Airlines|http://dbpedia.org/resource/Bakhtar_Afghan_Airlines|5|Company
6|Safi_Airways|http://dbpedia.org/resource/Safi_Airways|6|Company
7|Air_Algérie|http://dbpedia.org/resource/Air_Algérie|7|Company
8|Khalifa_Airways|http://dbpedia.org/resource/Khalifa_Airways|8|Company
9|Tassili_Airlines|http://dbpedia.org/resource/Tassili_Airlines|9|Company
10|Antinea_Airlines|http://dbpedia.org/resource/Antinea_Airlines|10|Company
11|Star_Aviation|http://dbpedia.org/resource/Star_Aviation|11|Company
12|TAAG_Angola_Airlines|http://dbpedia.org/resource/TAAG_Angola_Airlines|12|Company
13|Aero_Tropical|http://dbpedia.org/resource/Aero_Tropical|13|Company
14|Angola_Air_Charter|http://dbpedia.org/resource/Angola_Air_Charter|14|Company
15|Alada|http://dbpedia.org/resource/Alada|15|Company
16|Air_Gemini|http://dbpedia.org/resource/Air_Gemini|16|Company
17|Aeronáutica_(Angola)|http://dbpedia.org/resource/Aeronáutica_(Angola)|17|Company
18|Diexim_Expresso|http://dbpedia.org/resource/Diexim_Expresso|18|Company
19|SonAir|http://dbpedia.org/resource/SonAir|19|Company
20|Air_26|http://dbpedia.org/resource/Air_26|20|Company
21|Aerolíneas_Argentinas|http://dbpedia.org/resource/Aerolíneas_Argentinas|21|Company
22|Austral_Líneas_Aéreas|http://dbpedia.org/resource/Austral_Líneas_Aéreas|22|Company
