:START_ID(Person)|:END_ID(Tag)|:TYPE
8796093022220|1524|hasInterest
8796093022220|2041|hasInterest
8796093022220|14812|hasInterest
4398046511192|275|hasInterest
4398046511192|784|hasInterest
4398046511192|1762|hasInterest
4398046511192|1990|hasInterest
4398046511192|2856|hasInterest
4398046511192|11633|hasInterest
4398046511192|11872|hasInterest
6597069766746|1429|hasInterest
6597069766746|5721|hasInterest
6597069766746|6365|hasInterest
2199023255711|1183|hasInterest
2199023255711|1462|hasInterest
2199023255711|1764|hasInterest
2199023255711|1984|hasInterest
2199023255711|1993|hasInterest
2199023255711|2004|hasInterest
2199023255711|2087|hasInterest
2199023255711|2804|hasInterest
2199023255711|2810|hasInterest
2199023255711|2858|hasInterest
2199023255711|2876|hasInterest
2199023255711|2915|hasInterest
2199023255711|2957|hasInterest
2199023255711|3024|hasInterest
2199023255711|3050|hasInterest
2199023255711|3096|hasInterest
2199023255711|5546|hasInterest
2199023255711|6491|hasInterest
2199023255711|6991|hasInterest
2199023255711|7031|hasInterest
2199023255711|9141|hasInterest
2199023255711|9143|hasInterest
2199023255711|9310|hasInterest
2199023255711|10558|hasInterest
2199023255711|10997|hasInterest
2199023255591|206|hasInterest
2199023255591|299|hasInterest
2199023255591|449|hasInterest
2199023255591|469|hasInterest
2199023255591|545|hasInterest
2199023255591|565|hasInterest
2199023255591|573|hasInterest
2199023255591|579|hasInterest
2199023255591|596|hasInterest
2199023255591|974|hasInterest
2199023255591|1021|hasInterest
2199023255591|1022|hasInterest
2199023255591|1164|hasInterest
2199023255591|1170|hasInterest
2199023255591|1171|hasInterest
2199023255591|1176|hasInterest
2199023255591|1178|hasInterest
2199023255591|1186|hasInterest
2199023255591|1191|hasInterest
2199023255591|1195|hasInterest
2199023255591|1201|hasInterest
2199023255591|1205|hasInterest
2199023255591|1421|hasInterest
2199023255591|1614|hasInterest
2199023255591|1674|hasInterest
2199023255591|1759|hasInterest
2199023255591|1764|hasInterest
2199023255591|1930|hasInterest
2199023255591|1953|hasInterest
2199023255591|1984|hasInterest
2199023255591|1985|hasInterest
2199023255591|2003|hasInterest
2199023255591|2018|hasInterest
2199023255591|2049|hasInterest
2199023255591|2083|hasInterest
2199023255591|2095|hasInterest
2199023255591|2118|hasInterest
2199023255591|2787|hasInterest
2199023255591|2797|hasInterest
2199023255591|2823|hasInterest
2199023255591|2848|hasInterest
2199023255591|2895|hasInterest
2199023255591|2928|hasInterest
2199023255591|2959|hasInterest
2199023255591|2966|hasInterest
2199023255591|2973|hasInterest
2199023255591|3024|hasInterest
2199023255591|3026|hasInterest
2199023255591|3048|hasInterest
2199023255591|3070|hasInterest
2199023255591|3111|hasInterest
2199023255591|4849|hasInterest
2199023255591|5078|hasInterest
2199023255591|5117|hasInterest
2199023255591|5159|hasInterest
2199023255591|5191|hasInterest
2199023255591|5192|hasInterest
2199023255591|5258|hasInterest
2199023255591|6395|hasInterest
2199023255591|6418|hasInterest
2199023255591|6945|hasInterest
2199023255591|7580|hasInterest
2199023255591|7683|hasInterest
2199023255591|9036|hasInterest
2199023255591|9084|hasInterest
2199023255591|9170|hasInterest
2199023255591|9177|hasInterest
2199023255591|9477|hasInterest
2199023255591|11254|hasInterest
2199023255591|11375|hasInterest
2199023255591|11408|hasInterest
2199023255591|11531|hasInterest
2199023255591|11743|hasInterest
2199023255591|14036|hasInterest
4398046511124|280|hasInterest
4398046511124|284|hasInterest
4398046511124|448|hasInterest
4398046511124|540|hasInterest
4398046511124|806|hasInterest
4398046511124|1028|hasInterest
4398046511124|1185|hasInterest
4398046511124|1615|hasInterest
4398046511124|1644|hasInterest
4398046511124|1984|hasInterest
4398046511124|1985|hasInterest
4398046511124|2779|hasInterest
4398046511124|2799|hasInterest
4398046511124|2826|hasInterest
4398046511124|2878|hasInterest
4398046511124|2890|hasInterest
4398046511124|2945|hasInterest
4398046511124|3004|hasInterest
4398046511124|3010|hasInterest
4398046511124|3083|hasInterest
4398046511124|5156|hasInterest
4398046511124|5158|hasInterest
4398046511124|5854|hasInterest
4398046511124|6071|hasInterest
4398046511124|6377|hasInterest
4398046511124|6658|hasInterest
4398046511124|6962|hasInterest
4398046511124|6990|hasInterest
4398046511124|7534|hasInterest
4398046511124|14189|hasInterest
4398046511124|14956|hasInterest
10995116277844|138|hasInterest
10995116277844|206|hasInterest
10995116277844|565|hasInterest
10995116277844|587|hasInterest
10995116277844|776|hasInterest
10995116277844|778|hasInterest
10995116277844|796|hasInterest
10995116277844|976|hasInterest
10995116277844|1207|hasInterest
10995116277844|1444|hasInterest
10995116277844|1547|hasInterest
